script_id	speaker_ko	script_ko	speaker_en	script_en	speaker_ja	script_ja
1000	빛	20년 전 그날, 넌 내 몸에서 떨어져나간 [1]<b>불씨</b>다.\n모두가 실체를 찾아가고 있는데 네 모습은 왜 여전한지 아직도 모르겠어?	Light	That day 20 years ago,\nyou split from my body	光	20年前のあの日、\nお前は私の体から分かれた火種だ。
1100		<i>"안녕. 잘 지내, 친구?"</i>\n<i>"여긴 뭐 여전해. 검은 포식자들이 세상 무서울 것 없이 날뛰고 있어."</i>\n<i>"검은 재가 흩날리고,"</i>\n<i>"우리의 실체가 모두 사라졌던 날부터 아주 그들의 낙원이지."</i>\n<i>"원래부터 실체 없는 것들처럼 흑색이었던 놈들이 어련하겠어?"</i>\n뒷장은 바람에 날아간 모양이다….		<i>"Hey. How’ve you been, my friend?"</i>\n<i>"Nothing’s really changed here. The Black Predators are running wild like they own the place."</i>\n<i>"Black ashes scatter through the air,"</i>\n<i>"Ever since the day our true forms vanished, this world’s been their paradise."</i>\n<i>"They’ve always been blackened things without substance no wonder they’re thriving."</i>\nThe next page seems to have blown away in the wind… 		<i>「やあ。元気（げんき）にしてたか、友（とも）よ？」</i>\n<i>「こっちは相変（あいか）わらずさ。黒（くろ）い捕食者（ほしょくしゃ）たちが、怖（こわ）がるものなんて何（なに）もないみたいに暴（あば）れ回（まわ）ってるよ。」</i>\n<i>「黒（くろ）い灰（はい）が舞（ま）い上（あ）がって、」</i>\n<i>「俺（おれ）たちの実体（じったい）がすべて消（き）えたあの日（ひ）から、まるでやつらの楽園（らくえん）になっちまった。」</i>\n<i>「最初（さいしょ）から実体（じったい）なんてないような黒（くろ）い連中（れんちゅう）だ。そりゃ、のさばるわけだよな。」</i>\n次（つぎ）の頁（ページ）は風（かぜ）に飛（と）ばされてしまったようだ……。
1001	???	거기 누구 있어?\n... 거기 누구 있구나!\n휴 살았다... 혹시 나 좀 도와줄 수 있어?\n검은 재와 함께 돌덩이들이 나를 덮쳐버렸지 뭐야.\n그 때가 언제인지 기억이 가물가물 할 정도로 오래 갇혀 있었어...\n이 곳에서 날 꺼내주면 나의 모든 것을 줄게.\n부탁해...!	???	Is anyone there?\n... Oh, someone is there!\nPhew, I'm saved... Could you help me out?\nBlack ash and stones came crashing down on me.\nI've been trapped here for so long that I can barely remember when it happened...\nIf you get me out of here, I'll give you everything I have.\nPlease...!	???	そこに誰かいるの？\n... 誰かいるんだ！\nふぅ、助かった… あのね、ちょっと手伝ってくれない？\n黒い灰と共に石ころが私を襲ってしまったんだ。\nそれがいつだったか覚えられなくなるほど長い間ここに閉じ込められていた...\n私を出してくれれば私のすべてをあげる。\nお願い…！
1002	???	물리적인 힘을 가하면 부술 수 있을지도 몰라!	???	It might be breakable if you apply physical force!	???	物理的な力で壊せるかもしれないよ！
1003	???	뭔가 부서지는 소리가 들려!	???	I can hear something breaking!	???	何か壊れる音がする!
1004	???	곧 부서질 것 같아!	???	It looks like it's about to break!	???	もうすぐだよ！
1005	빛	후아... 드디어 세상 밖으로 나오게 되었네\n너구나, 날 도와준 사람이. 정말 고마워!\n난 '빛'이라고 해.\n그런데... 정말 참담해졌구나 세상이.\n도대체 이게 어떻게 된 일인지...\n... 너도 실마리를 찾기 위해 모험을 떠나고 있구나?\n너라면... 어쩌면... 아무튼 날 도와줬으니 나의 힘을 빌려 줄게.	Light	Whew... I finally made it out into the world\nYou're the one who helped me. Thank you so much!\nI'm called 'Light'.\nBut... the world has become truly devastating.\nWhat on earth happened...\n... You're also setting out on an adventure to find clues?\nIf it's you... perhaps... anyway, since you helped me, I'll lend you my power.	光	ふあ...やっと世の中に出るころだ出来た。\n私を助けてくれたのは君だよね? 本当にありがとう！\n私は「光」なんだ。\nところで... 本当に惨めになったな、この世界は。\n一体これはどういうことなのか...\n...あなたも糸口を見つけるために冒険に出かけているの？\n君なら... もしかしたら... とにかく私を助けてくれたおかげに、力を貸してあげる。
1006	빛	하지만 아직은 힘이 부족해.\n빛의 조각이 3개가 모여야 힘을 쓸 수 있거든.\n이미 한 개는 모았으니, 두 개만 더 모으면 돼!\n아마 이 근처에 있을 텐데...	Light	But I'm still lacking in power.\nI need 3 fragments of light to gather before I can use my abilities.\nI've already collected one, so I just need to gather two more!\nThey're probably somewhere around here...	光	でもまだ力が足りない。\n光のかけらが3つ集まってこそ力を使えるんだよ。\nもう一つは集めたから、あと二つだけ集めればいい！\n多分この近くにあるはずだが...
1007	빛	저 박쥐는 뭐지? 빛이 나고 있어!\n잠깐, 박쥐의 입에 무언가가...\n저건 빛의 조각이잖아?!\n힘을 되찾으려면 저 빛의 조각을 빼앗아야 해!	Light	What's that bat? It's glowing!\nWait, there's something in the bat's mouth...\nThat's a fragment of light?!\nTo regain my power, I need to take that fragment of light!	光	あのコウモリは何だ？ 光ってる！\nちょっと待って、コウモリの口に何か...\nあれは光のかけら？！\n力を取り戻すには、まずあの光のかけらを奪わなければ！
1008	빛	빛의 조각이다! 이제 하나만 더 찾으면 돼.	Light	It's a fragment of light! Now I just need to find one more.	光	光のかけら二つ目回収!あともう一つだけだよ。
