id					ko																	en																				ja
ui_confirm			확인																	confirm																			確認
ui_toMain			메인																	toMain																			メイン
ui_keySetting		키세팅																key setting																		キーセッティング
ui_language			언어																	language																		言語
ui_load				불러오기																load																			ロード
ui_bgm				배경음																bgm																				BGM
ui_sfx				효과음																sfx																				効果音
ui_window			창모드																window mode																		ウィンドウモード
ui_fullScreen		전체화면																full screen																		フルスクリーン
ui_moveToupper		위로 이동															move to upper																	移動（上）
ui_moveToLower		아래로 이동															move to lower																	移動（下）
ui_moveToRight		오른쪽으로 이동														move to right																	移動（右）
ui_moveToLeft		왼쪽으로 이동															move to left																	移動（左）
ui_jump				점프																	jump																			ジャンプ
ui_dash				대시/회피															dash																			ダッシュ / 回避
ui_interaction		상호작용																interation																		相互作用
ui_lightSkill		빛 스킬																light skill																		光スキル
ui_attack			공격																	attack																			攻撃
ui_save				저장																	save																			セーブ
ui_accept			수락																	accept																			受ける
ui_reject			거절																	reject																			断る
ui_obtainSkillPiece	스킬 조각을 획득하였습니다.											You have obtained a skill piece													スキルピースを獲得しました。
ui_remainSkillPiece	다음 스킬 해금까지 앞으로 필요한 스킬 조각 {0}개						{0} skill piece required to unlock the next skill								次のスキル解禁までに必要なスキルピース{0}個
ui_doubleJump		이단 점프															double jump																		二段ジャンプ
ui_keyWarring		이미 사용중인 키 입니다.<br>정말 변경하시려면<br>다시 한 번 눌러 주세요	This key is already in use.<br>To confirm the change,<br>please press it again.	そのキーはすでに使われています。<br>本当に変更するには、<br>もう一度押してください。
ui_doubleJumpDesc	{0}를 연속으로 누르면<br>이단으로 점프할 수 있습니다					Press {0} twice<br>to perform a double jump.									{0}を連続で押すと、<br>二段でジャンプできます。
ui_dashDesc			{0}를 누르면<br>대쉬를 통해 이동과 회피를 할 수 있습니다				Press {0}<br>to dash for movement and evasion.									{0}を押すと、<br>ダッシュで移動と回避ができます}
ui_lightSkillDesc	{0}키를 통해 빛의 힘으로 어둠을 밝힐 수 있습니다.						Press the {0} key to use the power of light to illuminate the darkness			{0}キーで光の力で闇を照らすことができます。
ui_retryQuestion	다시 도전하시겠습니까?												Would you like to try again?													もう一度挑戦しますか？
ui_retryConfirm		> 다시 도전한다.														> Try again																		> もう一度挑戦する
ui_move				이동																	move																			いどう
ui_lookAround		주변 살피기															look around																		しゅういをみまわす
ui_ladder			사다리																ladder																			ハシゴ
ui_movingLantern	이동 랜턴															moving lantern																	移動ランタン
ui_hold				길게 누르기															hold																			長押し
ui_longJump			롱 점프																long jump																		長押しジャンプ
ui_rock				바위																	rock																			岩
ui_push				밀기																	push																			押す
ui_pull				당기기																pull																			引く
